calendar,techweek_id,calendar_block_id,partiful_id,rerank_id,entry_type,status,category,start,end,actual_start,actual_end,title,location,venue_query,venue_precision,route_mode,travel_minutes,route_details,subway_segments,transit_risk,note,sales_coaching,rank,tier,opportunity_score,event_url,google_maps_url
schedule,,TW-20260601-SLEEP,,,sleep,registered,sleep,2026-06-01 03:13,2026-06-01 11:13,2026-06-01 03:13,2026-06-01 11:13,Sleep: 8 hours,"15 Cliff Street, New York, NY 10038","15 Cliff Street, New York, NY 10038",sleep_buffer,,,,,,Staggered late sleep block; night-to-night bedtime shift stays within 30 minutes.,,,,,,https://www.google.com/maps/search/?api=1&query=15+Cliff+Street%2C+New+York%2C+NY+10038
schedule,,TW-20260601-MEAL-LUNCH,,,meal,registered,meal,2026-06-01 12:15,2026-06-01 13:15,2026-06-01 12:15,2026-06-01 13:15,Meal: Lunch / reset,"15 Cliff Street, New York, NY 10038","15 Cliff Street, New York, NY 10038",meal_buffer,,,,,,One-hour food buffer before leaving for the first event.,,,,,,https://www.google.com/maps/search/?api=1&query=15+Cliff+Street%2C+New+York%2C+NY+10038
schedule,TW-6408,TW-6408-TRAVEL-IN,FHiuNwzr13e3YBI4ssUX,,travel,registered,travel,2026-06-01 13:21,2026-06-01 14:00,2026-06-01 13:21,2026-06-01 14:00,"Travel: 15 Cliff Street, New York, NY 10038 -> Beyond the Spec Masterclass: Engineering in the Age of Agents","15 Cliff Street, New York, NY 10038 -> Flatiron","15 Cliff Street, New York, NY 10038 -> Flatiron",,subway+walk,39,Walk 3 min to Fulton St (2/3); subway 29 min; walk 2 min from 23 St-Baruch College (4/6); includes 5 min buffer.,2 Fulton St to 28 St; 4 28 St to 23 St-Baruch College,Minor delays possible,,,,,,https://partiful.com/e/FHiuNwzr13e3YBI4ssUX,https://www.google.com/maps/dir/?api=1&origin=40.7084297%2C-74.0056635&destination=40.7408301%2C-73.9868072
schedule,TW-6408,TW-6408-SCHEDULE,FHiuNwzr13e3YBI4ssUX,6408,event,applied,primary,2026-06-01 14:00,2026-06-01 15:00,2026-06-01 14:00,2026-06-01 15:00,[PENDING] Beyond the Spec Masterclass: Engineering in the Age of Agents,Flatiron,"IBM One Madison Avenue, 1 Madison Ave,, New York, NY 10010",exact_from_partiful_maps,,,,,,Wait for host approval Submitted via Partiful API; rsvpStatus=PENDING_APPROVAL; count=1; plusOne=none.,"Sales coaching:
Pitch: Accolades credits the engineering work commit counts miss, using source-linked GitHub and Slack evidence.
Open: Use the agent/spec theme. Say you are studying how specs, PRs, and Slack context survive agentic workflows.
Ask: When an agent touches a ticket, what artifact proves who shaped the outcome?
Listen for: Specs as source of truth, issue quality, review quality, manager trust, missing context.
Follow-up: Ask for 20 minutes with whoever owns engineering process or agent adoption.",24,S,74,https://partiful.com/e/FHiuNwzr13e3YBI4ssUX,https://www.google.com/maps/search/?api=1&query=IBM+One+Madison+Avenue%2C+1+Madison+Ave%2C%2C+New+York%2C+NY+10010
schedule,TW-44,TW-44-TRAVEL-IN,xowd9F3kB7mPFN1luUwY,,travel,registered,travel,2026-06-01 15:50,2026-06-01 16:00,2026-06-01 15:50,2026-06-01 16:00,Travel: Beyond the Spec Masterclass: Engineering in the Age of Agents -> From Vibe Coding to AI-Driven Development,"Beyond the Spec Masterclass: Engineering in the Age of Agents -> WeWork, 135 Madison Ave, New York, NY","Beyond the Spec Masterclass: Engineering in the Age of Agents -> WeWork, 135 Madison Ave, New York, NY",,walk,10,Walk approx 10 min / 767 m using OSM-geocoded points.,,,,,,,,https://partiful.com/e/xowd9F3kB7mPFN1luUwY,https://www.google.com/maps/dir/?api=1&origin=40.7408301%2C-73.9868072&destination=40.7459513%2C-73.984086&travelmode=walking
schedule,TW-44,TW-44-SCHEDULE,xowd9F3kB7mPFN1luUwY,44,event,applied,primary,2026-06-01 16:00,2026-06-01 17:00,2026-06-01 16:00,2026-06-01 17:00,[PENDING] From Vibe Coding to AI-Driven Development,"WeWork, 135 Madison Ave, New York, NY","WeWork, 135 Madison Ave, New York, NY",exact_from_signup_status,,,,,,Wait for host approval Submitted via Partiful API; rsvpStatus=PENDING_APPROVAL; count=2; plusOne=TBD.,"Sales coaching:
Pitch: Accolades credits the engineering work commit counts miss, using source-linked GitHub and Slack evidence.
Open: Frame vibe coding as a team-process problem, not a solo productivity trick.
Ask: What breaks when vibe coding becomes team development across reviews, specs, and handoffs?
Listen for: Review bottlenecks, low-trust AI output, unclear ownership, managers losing visibility.
Follow-up: Send a short write-up on contribution evidence for AI-assisted teams.",29,A,71,https://partiful.com/e/xowd9F3kB7mPFN1luUwY,https://www.google.com/maps/search/?api=1&query=WeWork%2C+135+Madison+Ave%2C+New+York%2C+NY
reference,TW-5110,TW-5110-REFERENCE,dmFBKIxzn2LdFmktqas8,5110,event,applied,backup,2026-06-01 17:00,2026-06-01 18:30,2026-06-01 17:00,2026-06-01 18:30,[PENDING BACKUP] Slack x Amplitude: AI at work,Tribeca,"Fabrik, 16 Vestry St, New York, NY 10013",exact_from_partiful_maps,,,,,,Wait for host approval Submitted via Partiful API; rsvpStatus=PENDING_APPROVAL; count=1; plusOne=none.,"Sales coaching:
Pitch: Accolades credits the engineering work commit counts miss, using source-linked GitHub and Slack evidence.
Open: Use the Slack angle: work decisions often happen outside GitHub.
Ask: Which important engineering decisions live in Slack, and do they ever make it into reviews or planning?
Listen for: Slack decisions, cross-functional handoffs, lost context, collaboration evidence.
Follow-up: Ask whether Slack-linked contribution credit would help managers or team leads.",180,B,53,https://partiful.com/e/dmFBKIxzn2LdFmktqas8,https://www.google.com/maps/search/?api=1&query=Fabrik%2C+16+Vestry+St%2C+New+York%2C+NY+10013
schedule,TW-5978,TW-5978-TRAVEL-IN,OF1vP5L8dtXKRtInyWKs,,travel,registered,travel,2026-06-01 17:28,2026-06-01 18:00,2026-06-01 17:28,2026-06-01 18:00,Travel: From Vibe Coding to AI-Driven Development -> Open Source Must Win,"From Vibe Coding to AI-Driven Development -> New York, NY","From Vibe Coding to AI-Driven Development -> New York, NY",,subway+walk,32,Walk 3 min to 33 St (4/6); subway 23 min; walk 1 min from Delancey St-Essex St (F); includes 5 min buffer.,4 33 St to Canal St; J Canal St to Delancey St-Essex St,Minor delays possible,,,,,,https://partiful.com/e/OF1vP5L8dtXKRtInyWKs?c=s6u4EYds,https://www.google.com/maps/dir/?api=1&origin=40.7459513%2C-73.984086&destination=40.718618%2C-73.988136
reference,TW-5962,TW-5962-REFERENCE,09a0qPKv0cSOIOSGxjTQ,5962,event,registered,backup,2026-06-01 18:00,2026-06-01 21:00,2026-06-01 18:00,2026-06-01 21:00,[REG BACKUP] Software for Hardware: The Tools Powering Robotics & Embodied AI,"Civic Hall, 124 E 14th St 2nd Floor, New York, NY","Civic Hall, 124 E 14th St, New York, NY 10003",exact_from_partiful_maps,,,,,,Partiful registered only. Secondary Luma checkout is $20 and was explicitly skipped. Partiful registered; skip paid Luma checkout Submitted via Partiful API; rsvpStatus=GOING; count=1; plusOne=none. Secondary Luma link requires $20 paid ticket; user explicitly said do not complete checkout.,"Sales coaching:
Pitch: Accolades credits the engineering work commit counts miss, using source-linked GitHub and Slack evidence.
Open: Hardware and robotics teams have heavy coordination work before code ships.
Ask: How do you credit specs, integration debugging, reviews, and ops work across hardware/software boundaries?
Listen for: Systems integration, test evidence, field debugging, cross-discipline ownership.
Follow-up: Ask for founder/operator feedback rather than pushing a pure software-team sale.",13,S,86,https://partiful.com/e/09a0qPKv0cSOIOSGxjTQ,https://www.google.com/maps/search/?api=1&query=Civic+Hall%2C+124+E+14th+St%2C+New+York%2C+NY+10003
schedule,TW-5978,TW-5978-SCHEDULE,OF1vP5L8dtXKRtInyWKs,5978,event,registered,primary,2026-06-01 18:00,2026-06-01 21:00,2026-06-01 18:00,2026-06-01 21:00,[REG] Open Source Must Win,"New York, NY","Delancey St Essex St, New York, NY",approx_neighborhood_hidden,,,,,,"If this is not approved, use registered backup NYC B2B at Skinos instead. On the list; monitor for updates Submitted via Partiful API; Partiful live sync 2026-05-12: rsvpStatus=APPROVED; count=2; plusOne=TBD; approved 2026-05-10 11:16 ET.","Sales coaching:
Pitch: Accolades credits the engineering work commit counts miss, using source-linked GitHub and Slack evidence.
Open: Open-source rooms should hear the maintainer-labor angle first.
Ask: How do you credit review, triage, specs, and maintainer work that never becomes a commit?
Listen for: Contributor rewards, bounty systems, maintainer burnout, attribution disputes.
Follow-up: Ask for intros to maintainers, DevRel leads, or teams running contributor programs.",37,A,64,https://partiful.com/e/OF1vP5L8dtXKRtInyWKs?c=s6u4EYds,https://www.google.com/maps/search/?api=1&query=Delancey+St+Essex+St%2C+New+York%2C+NY
